Cod. Cliente;Data da Resposta;Nota NPS;Nota Metodologia;Nota Gestao;Nota Conhecimento;Nota Qualidade;Nota Comunicacao;Nota Prazos
TFDRGY;2024-09-11;9;9;9;9;9;9;9
TFDURJ;2024-09-11;10;10;10;10;10;10;10
TFDFSL;2024-09-11;6;5;5;7;7;7;5
TFDSMM;2024-09-11;9;8;8;10;8;9;8
TFDSMX;2024-09-10;2;8;0;0;0;0;0
TFDOBA;2024-09-10;0;0;5;7;5;7;3
TDC1KS;2024-09-10;8;;;;;;
TFDHEU;2024-09-10;10;10;10;10;10;10;8
TEZIF9;2024-09-10;10;;;;;;
TDC019;2024-09-10;7;;;;;;
TFDCFE;2024-09-10;1;1;1;2;3;1;1
T58645;2024-09-10;8;8;8;9;9;8;8
TFDSC5;2024-09-04;10;9;10;9;9;9;9
TFCJVS;2024-09-04;3;;;;;;
TFDUQJ;2024-09-04;10;10;10;10;10;10;10
TA3041;2024-09-04;4;5;5;5;3;3;10
TFDSGR;2024-09-04;9;9;9;9;8;9;9
TEZF99;2024-09-04;10;10;10;10;10;10;10
TFDVKR;2024-09-04;10;;;;;;
TCALBM;2024-09-04;1;;;;;;
TDC04H;2024-09-03;0;;;;;;
T01533;2024-09-03;0;0;0;0;0;0;0
TFDISM;2024-09-03;9;;;;;;
TDC1KG;2024-09-03;8;9;9;9;9;8;9
T00336;2024-09-03;10;8;10;8;8;7;10
T01470;2024-09-03;8;8;9;10;9;8;8
TFDH64;2024-08-27;0;;;;;;
TDC83A;2024-08-27;0;;;;;;
T16579;2024-08-27;10;;;;;;
TFDOQE;2024-08-27;1;2;2;4;2;2;2
TFCV89;2024-08-27;4;;;;;;
TDC32R;2024-08-27;2;;;;;;
TFDMZ3;2024-08-27;6;5;8;7;7;5;5
TFCJPN;2024-08-27;7;;;;;;
TA3007;2024-08-27;10;;;;;;
TFDRL5;2024-08-22;10;;;;;;
T56348;2024-08-21;9;9;10;10;10;10;10
T22498;2024-08-21;9;10;9;8;9;10;8
TFDQSS;2024-08-21;6;6;4;6;6;6;2
TEXVCJ;2024-08-20;10;10;10;10;10;10;10
TFCXU6;2024-08-20;10;;;;;;
T47526;2024-08-20;4;;;;;;
TFCCRT;2024-08-20;10;9;10;10;10;10;7
TFDBQ1;2024-08-20;1;1;1;1;1;1;1
TDC0A6;2024-08-20;0;0;0;1;0;0;0
T24847;2024-08-20;6;6;6;6;6;6;6
T17230;2024-08-20;4;;;;;;
TEZMJ3;2024-08-16;8;;;;;;
T09171;2024-08-15;8;8;8;7;7;8;7
T14081;2024-08-13;9;10;9;10;9;9;9
TFCAIX;2024-08-13;5;6;6;7;5;7;3
TFDSAP;2024-08-13;10;;;;;;
T12280;2024-08-13;0;2;5;7;5;8;7
T35505;2024-08-13;10;;;;;;
TFCTOI;2024-08-13;10;10;10;10;10;10;10
TFDHKF;2024-08-13;7;;;;;;
T02250;2024-08-08;10;10;10;10;10;10;10
TEZEGF;2024-08-06;4;7;4;3;3;5;2
TFDUGJ;2024-08-06;8;;;;;;
TFDSQ6;2024-08-06;6;8;5;8;8;5;5
TEWTYL;2024-08-06;9;;;;;;
T15145;2024-08-06;10;10;10;10;10;10;10
TEZIWK;2024-08-06;9;;;;;;
TFBONP;2024-08-06;9;9;10;9;9;9;9
TDC05C;2024-08-06;8;7;5;9;8;9;6
T24687;2024-08-06;10;10;10;10;10;10;10
TEXHTJ;2024-08-06;8;8;8;8;8;6;6
TEZCRK;2024-08-06;10;;;;;;
T01667;2024-08-06;3;3;3;5;3;4;3
TFDTQY;2024-08-02;10;10;10;10;10;10;10
TDC9RK;2024-08-01;10;10;10;10;10;10;10
T11185;2024-08-01;10;10;10;10;10;10;10
T06937;2024-07-31;10;9;10;10;10;10;10
TFCRDT;2024-07-30;10;10;10;10;10;10;10
T01143;2024-07-30;4;9;7;9;5;5;9
T59714;2024-07-30;3;5;3;6;5;5;3
T74426;2024-07-30;7;6;0;7;7;6;5
TFCMWB;2024-07-30;6;7;8;8;7;6;8
TFDPX8;2024-07-30;0;;;;;;
TEZHKG;2024-07-23;10;;;;;;
TEYJDP;2024-07-23;10;10;10;10;10;10;10
T07129;2024-07-23;0;;;;;;
TFDR02;2024-07-23;7;7;9;8;7;8;8
T15608;2024-07-23;8;;;;;;
TFDRWM;2024-07-23;8;;;;;;
T05809;2024-07-23;8;8;8;8;8;8;8
T54886;2024-07-23;6;5;5;7;7;5;6
TFDUGN;2024-07-23;8;8;8;9;8;9;9
TFBNBE;2024-07-23;3;7;8;6;5;3;2
TFDOB0;2024-07-23;2;8;8;9;7;7;5
T76590;2024-07-23;8;;;;;;
TFDPVD;2024-07-23;0;1;1;5;5;2;4
TFDQW6;2024-07-23;1;;;;;;
T74216;2024-07-23;8;;;;;;
TFCVYL;2024-07-22;10;10;10;9;9;10;10
T12915;2024-07-22;9;9;9;9;8;7;9
T07059;2024-07-22;10;10;10;10;10;10;10
TFCVR5;2024-07-18;2;;;;;;
TEZLNF;2024-07-17;8;;;;;;
TFDRUH;2024-07-16;3;;;;;;
T15575;2024-07-16;2;;;;;;
TFDORV;2024-07-16;10;10;10;10;10;10;10
TFDTT0;2024-07-12;8;7;8;8;8;9;9
TA3751;2024-07-10;7;;;;;;
T16098;2024-07-10;10;10;10;10;10;10;10
T16235;2024-07-10;6;6;6;5;5;6;5
TFBW88;2024-07-09;9;;;;;;
TFDQQE;2024-07-09;0;;;;;;
T36590;2024-07-09;9;9;9;10;9;9;9
TFCWFQ;2024-07-09;6;;;;;;
TFCAIX;2024-07-09;0;0;0;0;0;0;0
TFCTB6;2024-07-09;4;3;1;3;2;2;2
T04610;2024-07-08;10;;;;;;
T11320;2024-07-08;10;10;10;9;9;9;9
TFDPU0;2024-07-04;0;2;2;4;1;0;0
T07104;2024-07-03;0;;;;;;
TEZCWQ;2024-07-03;10;10;10;10;10;10;10
TFDSQY;2024-07-03;10;8;9;10;9;8;9
TFD544;2024-07-03;10;10;10;10;10;10;10
T45774;2024-07-03;10;10;10;10;10;10;10
T34693;2024-07-03;2;2;2;9;4;5;5
T05691;2024-07-02;1;;;;;;
TFDROQ;2024-07-02;0;;;;;;
T47564;2024-07-02;9;9;9;9;9;9;9
TFDNK8;2024-07-02;1;8;8;8;5;8;8
TFDSLI;2024-07-02;7;;;;;;
TFCHZZ;2024-07-02;3;7;8;5;5;7;0
T43232;2024-07-02;7;7;9;9;9;7;7
TFDNLJ;2024-07-02;1;3;8;3;2;1;5
T26323;2024-07-02;4;;;;;;
T22498;2024-07-02;7;;;;;;
T76191;2024-07-02;10;10;10;10;10;10;10
T75328;2024-07-02;3;;;;;;
T75328;2024-07-02;9;;;;;;
TFDO86;2024-07-02;0;0;0;0;0;0;0
TAA842;2024-07-02;3;8;3;2;2;7;5
T75328;2024-07-02;2;;;;;;
TFDEEX;2024-07-02;0;0;0;0;0;0;0
TFCKB7;2024-07-02;3;10;10;8;8;7;7
T55100;2024-07-02;5;;;;;;
TFDO86;2024-07-02;0;;;;;;
TFDHPB;2024-07-02;9;10;8;9;9;8;10
TAABYB;2024-07-02;2;1;2;2;2;2;2
;2024-07-01;9;;;;;;
T09508;2024-06-28;10;10;10;10;10;10;10
TFDTZR;2024-06-26;10;;;;;;
TB2618;2024-06-25;10;10;10;10;10;10;10
TFDNSO;2024-06-25;7;;;;;;
TFDPXN;2024-06-25;9;7;7;6;7;6;9
TFDNI8;2024-06-25;9;9;9;10;9;9;10
TFBZJU;2024-06-25;0;;;;;;
T59841;2024-06-25;10;;;;;;
T15712;2024-06-21;9;8;9;8;8;9;7
T59266;2024-06-19;10;9;9;9;9;9;9
TFCMGJ;2024-06-19;9;9;9;10;10;10;10
TFDR64;2024-06-19;6;5;7;10;7;10;7
T52999;2024-06-18;10;10;10;9;10;10;10
TFDSAS;2024-06-18;5;5;5;5;5;5;5
T20520;2024-06-18;10;10;10;10;10;10;10
T05015;2024-06-18;10;9;10;10;10;10;9
TFCVML;2024-06-18;8;8;7;9;10;8;7
TFDOPJ;2024-06-18;7;;;;;;
TFDQOE;2024-06-18;7;7;8;8;7;7;7
TFDNML;2024-06-18;9;9;9;10;9;10;10
TFDS58;2024-06-18;2;3;3;6;5;3;3
TFBNG2;2024-06-18;10;10;10;10;10;10;10
TEXHUW;2024-06-18;9;9;10;9;9;9;9
TFDGZ5;2024-06-17;10;10;10;9;9;10;9
TFDRL5;2024-06-14;10;;;;;;
TFD904;2024-06-14;7;8;8;8;8;6;8
T84418;2024-06-13;8;8;8;7;8;7;7
TFDRFS;2024-06-13;9;;;;;;
TFDFUC;2024-06-12;10;9;10;10;10;9;9
TFCJIY;2024-06-12;10;9;10;9;9;10;10
TFDSE6;2024-06-12;10;;;;;;
TFDP84;2024-06-11;10;8;10;10;9;10;10
T15564;2024-06-11;4;;;;;;
TFCRDT;2024-06-11;9;9;9;9;9;9;8
TFD879;2024-06-11;10;;;;;;
T42051;2024-06-11;8;;;;;;
T33436;2024-06-11;10;10;10;10;10;10;10
TFCZUO;2024-06-11;8;;;;;;
TFDFSL;2024-06-11;6;;;;;;
T15516;2024-06-11;8;8;8;9;9;9;9
TFDNP2;2024-06-11;10;10;10;10;10;10;10
TFDITK;2024-06-11;8;;;;;;
T22345;2024-06-10;10;10;10;10;10;10;8
T36846;2024-06-04;8;10;9;7;8;10;7
T05890;2024-06-04;10;10;10;10;10;10;10
T09032;2024-06-04;9;;;;;;
TEVVMX;2024-06-04;8;;;;;;
TFDGZ5;2024-06-04;1;2;2;9;5;8;3
TFDPIS;2024-06-04;3;3;3;5;3;5;0
TFDS76;2024-06-04;10;10;10;10;10;10;10
TA2543;2024-06-04;0;0;3;0;0;0;0
T60707;2024-06-04;9;9;9;8;8;8;8
T13641;2024-06-04;8;;;;;;
T25162;2024-06-04;10;10;10;10;10;10;10
TFDJK1;2024-06-04;0;0;0;0;0;0;0
TEZOLS;2024-06-04;6;3;8;7;6;6;8
T92215;2024-05-31;10;10;10;10;10;10;10
TFDSC5;2024-05-29;5;5;7;6;6;5;5
T29941;2024-05-28;9;9;9;9;9;9;9
T23403;2024-05-28;9;;;;;;
TFDRRS;2024-05-28;10;10;10;10;10;10;10
T10775;2024-05-28;0;0;0;0;0;0;0
TEWBPX;2024-05-28;9;;;;;;
T00336;2024-05-28;10;9;10;9;9;9;10
TEXPJ9;2024-05-28;10;;;;;;
TEWBTY;2024-05-28;9;;;;;;
TFDFG9;2024-05-28;10;10;10;10;10;10;10
TEWLT7;2024-05-28;10;8;9;9;9;9;8
TAABRH;2024-05-27;8;;;;;;
TFDSGK;2024-05-27;8;8;8;10;7;5;7
TFDOAK;2024-05-27;10;10;10;10;10;10;10
TFDPXU;2024-05-23;9;9;9;9;8;9;8
T23603;2024-05-23;10;10;10;10;10;10;10
TFDOC2;2024-05-22;0;0;0;0;0;0;0
TFCCH3;2024-05-21;9;7;9;9;8;9;8
T35145;2024-05-21;10;10;10;10;10;10;10
TB1475;2024-05-21;10;10;10;10;10;10;10
TFCWHH;2024-05-21;9;9;10;8;9;9;10
T02995;2024-05-21;7;;;;;;
TEWTVL;2024-05-21;10;10;10;10;10;10;10
T28991;2024-05-21;9;;;;;;
T74686;2024-05-21;1;;;;;;
TFDRGY;2024-05-20;7;7;7;9;7;7;7
T05018;2024-05-16;10;10;10;10;10;10;10
TFDI94;2024-05-16;9;9;9;10;9;10;9
T03648;2024-05-16;10;10;10;10;10;10;10
TFDPP2;2024-05-16;10;9;10;10;10;10;10
TFCQM6;2024-05-15;9;8;10;10;9;9;10
TFDPIO;2024-05-15;9;10;10;9;9;9;9
TEZBJX;2024-05-14;1;2;5;1;1;2;1
TFDQZZ;2024-05-14;10;9;9;8;9;7;9
TFDSCR;2024-05-14;10;9;10;10;10;10;10
TFCQT9;2024-05-14;6;8;8;9;9;6;8
TFCSFC;2024-05-14;10;9;10;10;10;10;10
TEZME4;2024-05-14;5;5;5;5;5;5;5
TFDQFG;2024-05-14;9;7;10;8;9;9;10
T51706;2024-05-14;10;;;;;;
TFDQQE;2024-05-14;4;;;;;;
TFDOSY;2024-05-13;10;9;10;10;10;10;10
T00202;2024-05-13;10;10;10;10;10;10;10
TFCTOI;2024-05-13;10;10;10;10;10;10;10
TFCSNB;2024-05-13;6;5;7;7;7;7;5
TFDPX7;2024-05-10;9;;;;;;
TFDCY7;2024-05-08;10;10;10;9;9;9;8
TFCNXR;2024-05-08;9;6;9;9;8;8;7
TFDHQ1;2024-05-07;4;2;3;7;5;5;2
T28301;2024-05-07;9;;;;;;
TEZCRJ;2024-05-07;10;10;10;10;10;10;10
TEZOB3;2024-05-07;4;2;5;5;4;2;8
TEWBTY;2024-05-07;10;10;10;10;10;10;10
TFBZL7;2024-05-07;7;7;5;8;8;2;2
TFDBGH;2024-05-07;8;7;10;7;7;9;7
TAAOM6;2024-05-07;2;1;1;7;3;1;1
TFDGCT;2024-05-07;10;;;;;;
TEZF99;2024-05-07;10;10;9;10;10;10;9
T22498;2024-05-07;9;9;9;10;9;10;7
TFBLJT;2024-05-06;2;6;2;7;2;3;2
T03120;2024-05-02;0;2;2;6;1;0;0
TEWTV5;2024-04-30;9;;;;;;
TFCWLM;2024-04-30;1;;;;;;
TFCH84;2024-04-30;2;6;2;6;4;2;4
T21751;2024-04-26;10;7;10;7;7;8;8
T59698;2024-04-26;9;;;;;;
TFDAPD;2024-04-26;3;;;;;;
T41208;2024-04-26;9;;;;;;
T62516;2024-04-26;4;;;;;;
T25114;2024-04-26;4;;;;;;
TEZHFP;2024-04-23;10;10;10;10;10;10;10
T29112;2024-04-18;10;10;10;10;10;10;10
TFDIX5;2024-04-18;0;0;0;3;3;3;4
T12915;2024-04-18;9;8;9;8;9;9;9
TFCQEO;2024-04-17;8;;;;;;
T34111;2024-04-17;0;0;0;0;0;0;0
T27008;2024-04-16;10;10;10;10;10;10;10
TFDOLR;2024-04-16;8;8;9;10;10;10;9
TFDBM8;2024-04-16;3;6;7;10;7;6;6
TFDEGM;2024-04-16;1;;;;;;
TFDSAP;2024-04-16;10;;;;;;
TFDCFE;2024-04-16;0;3;0;7;2;2;0
T28076;2024-04-16;10;9;10;10;10;9;10
TFDJJS;2024-04-16;9;10;10;10;9;8;9
TCBSFX;2024-04-15;10;10;10;10;10;10;9
TEZIWK;2024-04-10;10;;;;;;
TEZIS3;2024-04-10;8;8;8;8;8;8;8
TFDA61;2024-04-09;10;;;;;;
T59248;2024-04-09;0;0;0;0;0;0;0
TFBW88;2024-04-04;6;6;8;10;8;8;8
T26561;2024-04-02;8;;;;;;
TFDRLG;2024-04-02;4;;;;;;
TFD885;2024-04-02;9;8;9;9;8;7;3
T45774;2024-04-02;10;;;;;;
T16235;2024-04-02;6;7;5;5;5;5;5
TFDRPD;2024-04-02;8;;;;;;
TFDIRR;2024-04-02;0;0;0;0;0;0;1
T43232;2024-04-02;8;6;8;8;8;8;8
TFBEST;2024-04-02;0;;;;;;
TEZLNF;2024-04-02;8;;;;;;
TFBXY4;2024-04-02;8;;;;;;
T51535;2024-04-02;6;;;;;;
TEZNT5;2024-04-02;9;;;;;;
TEZCKO;2024-04-02;10;;;;;;
TFDPF2;2024-03-26;9;;;;;;
TFCT26;2024-03-19;10;10;10;9;10;9;10
T01316;2024-03-19;0;5;8;8;5;5;5
TFDNK8;2024-03-14;10;;;;;;
T46334;2024-03-13;10;10;10;10;10;10;10
T36590;2024-03-12;10;10;10;9;9;9;9
TFCVZL;2024-03-12;10;10;10;10;10;10;10
T19815;2024-03-12;0;5;5;4;4;0;0
TFCHZZ;2024-03-12;3;8;8;3;3;5;0
TFDHP9;2024-03-11;10;9;9;9;9;9;9
TFDNI8;2024-03-08;9;;;;;;
TEXKGD;2024-03-07;4;;;;;;
TFBY31;2024-03-07;1;1;1;1;1;1;1
TFDGRG;2024-03-05;10;4;10;6;6;6;7
T12579;2024-03-05;10;9;10;10;10;10;10
TFBTFC;2024-03-05;2;1;1;4;1;2;0
TFDGYR;2024-03-05;9;9;9;9;9;9;9
T23755;2024-03-05;9;9;9;9;9;9;9
T09171;2024-03-05;8;8;8;8;8;8;8
TFDNRT;2024-03-05;10;10;10;10;10;10;10
TFDIEI;2024-03-05;9;5;8;8;8;7;7
T24687;2024-03-05;10;10;10;10;10;10;10
T02666;2024-03-05;0;7;0;3;0;2;0
TFDCTR;2024-03-05;5;;;;;;
TFDIEN;2024-03-05;10;;;;;;
TFBUAI;2024-03-05;2;6;6;2;2;0;8
